Lat,Lon
39.10203,-93.53904
39.04561,-93.84128
39.26226,-93.90997
38.94566,-94.23959
38.81751,-95.33102
37.92046,-94.17578
38.40209,-94.51992
38.22962,-94.20073
39.45556,-93.5836
38.08333,-97.21918
38.71261,-97.11683
38.94731,-96.23283
38.25889,-96.31942
38.3665,-95.51098
37.7384,-95.94866
37.56963,-91.79563
38.84626,-93.77781
38.68007,-94.9246
39.06919,-92.18001
37.70308,-92.12594
37.74706,-94.99871
37.58577,-92.20126
38.41992,-92.50171
38.55315,-93.87283
37.59807,-94.94518
38.61198,-95.22077
38.54676,-96.09744
39.08423,-93.88202
37.91248,-93.48904
39.28267,-96.0211
39.03423,-94.16681
37.4733,-95.51603
37.58145,-93.33357
39.08302,-93.82835
39.23871,-93.95387
37.70549,-96.14695
39.01835,-96.69774
38.83417,-92.10891
37.92335,-93.4805
38.40879,-96.20835
38.60569,-94.33598
37.6999,-93.40546
37.86968,-92.43371
38.27589,-91.44333
38.35505,-94.71786
37.79793,-96.46861
37.50092,-93.40617
39.17049,-95.73516
37.94018,-95.94181
37.13832,-94.94577
38.80227,-94.93923
39.26604,-93.15739
39.01326,-93.70716
37.36182,-92.63916
38.57328,-93.5675
39.31436,-96.13006
38.96463,-94.41862
38.00069,-96.09446
39.7975,-96.31435
37.89183,-92.81885
38.53614,-93.74758
39.23475,-92.53204
38.16446,-94.33747
38.72089,-95.66369
38.94812,-94.72429
38.36522,-96.38224
38.52929,-93.67377
38.41445,-91.67377
37.95038,-94.1852
37.47905,-93.93672
39.84503,-94.28276
37.24082,-92.37554
39.4571,-94.14972
38.52644,-95.37727
38.85278,-95.83768
38.25693,-94.55039
38.1761,-91.45058
38.78412,-95.6941
37.56494,-94.96364
38.40737,-97.14884
38.89228,-91.69197
38.92712,-94.25509
38.82658,-96.37186
38.437,-94.01788
38.81573,-93.85972
39.18161,-93.5379
37.4902,-92.08936
39.21479,-93.32821
38.65442,-95.15783
38.78157,-93.78649
39.48894,-94.23328
39.31642,-97.33809
39.32176,-93.89532
38.20187,-95.104
38.34349,-95.02897
38.96344,-93.38049
38.93908,-94.49794
38.3904,-95.74339
38.38778,-92.0212
38.16664,-94.71032
38.04338,-95.96865
37.97196,-94.60786
39.24865,-94.17762
38.67112,-96.5984
39.1602,-92.37132
39.14661,-97.22262
39.36466,-96.33367
37.55094,-94.80894
38.15209,-94.66178
37.75493,-94.68973
39.07915,-95.17832
38.55089,-94.84721
38.50261,-93.94037
38.23317,-91.88776
38.09271,-95.72956
37.52296,-94.6141
39.44613,-94.45037
38.93059,-94.928
37.81035,-93.99921
39.55536,-94.8544
38.10351,-94.39636
39.01195,-95.62887
38.86831,-93.29601
38.64158,-92.03534
38.53389,-93.90687
37.91764,-92.52038
38.37581,-94.36627
38.48724,-94.04228
38.86272,-95.7154
39.60408,-91.6402
39.65686,-95.8214
39.3023,-92.32818
38.89617,-93.88419
38.53725,-95.13317
38.52734,-94.05143
37.6764,-93.90354
39.38203,-93.14481
38.6617,-94.41594
39.39234,-94.57375
39.38491,-94.30367
39.3274,-94.67989
38.81801,-96.91842
38.19912,-92.51632
39.22332,-94.91981
38.53322,-94.42009
38.83112,-94.66384
39.03077,-97.1846
38.21771,-94.83098
38.25574,-96.18076
38.74231,-94.69906
38.37562,-95.4113
38.80892,-94.0232
38.15523,-94.71218
37.40742,-95.13687
37.8577,-91.63834
38.85801,-94.13284
37.44204,-93.98794
38.93407,-91.82204
38.96342,-94.93008
38.57081,-95.10075
38.38004,-94.80537
38.68038,-93.8828
38.54943,-96.36709
39.18907,-94.87402
39.0578,-92.52249
39.28798,-93.17944
38.66706,-96.01977
38.54596,-97.54191
39.08754,-96.00554
38.47192,-95.41181
38.48829,-93.4509
38.33352,-95.04281
37.64199,-93.11137
39.04007,-91.39745
38.36861,-97.4464
38.17976,-94.32894
38.48937,-96.27894
39.36485,-93.78197
38.83172,-93.42358
38.88307,-92.12539
38.43671,-92.054
39.77968,-93.1935
39.01134,-94.21592
38.90149,-93.67035
39.34149,-94.62143
39.62307,-94.10283
38.33532,-93.68387
38.9447,-95.07321
39.10191,-95.66918
37.90286,-94.90115
38.48711,-94.35062
38.76617,-94.17721
37.28586,-93.1582
39.30321,-95.45682
37.42979,-95.0122
39.50327,-95.06336
39.30885,-92.82254
39.50722,-94.66314
38.02783,-94.02111
38.6629,-94.08248
37.82088,-93.47386
38.05759,-94.73874
39.05175,-95.69275
38.60044,-96.55185
39.2126,-96.93446
37.72811,-92.29226
38.60074,-95.03369
39.08948,-92.50337
37.40078,-94.1732
38.12865,-93.91317
38.72852,-94.7412
39.33013,-93.11991
38.80334,-96.46842
38.01621,-94.30029
39.30756,-94.67319
